Rk,Team,Attendance
1,San Antonio Spurs*,755031
2,Los Angeles Clippers*,787692
3,Oklahoma City Thunder*,746323
4,Golden State Warriors*,803436
5,Houston Rockets*,743082
6,Portland Trail Blazers*,809612
7,Miami Heat*,811036
8,Indiana Pacers*,717542
9,Minnesota Timberwolves,597157
10,Phoenix Suns,650739
11,Dallas Mavericks*,817982
12,Toronto Raptors*,748339
13,Memphis Grizzlies*,685458
14,Chicago Bulls*,890370
15,Washington Wizards*,698068
16,Atlanta Hawks*,587927
17,Charlotte Bobcats*,636268
18,Denver Nuggets,692898
19,New York Knicks,812292
20,Brooklyn Nets*,707331
21,New Orleans Pelicans,672029
22,Sacramento Kings,667949
23,Cleveland Cavaliers,710522
24,Detroit Pistons,616005
25,Boston Celtics,742400
26,Los Angeles Lakers,771974
27,Orlando Magic,666046
28,Utah Jazz,745203
29,Milwaukee Bucks,552067
30,Philadelphia 76ers,568632
